,season,team,league,sequenceNumber,timeOnIce,shutouts,goalAgainstAverage,games,goalsAgainst,ties,wins,losses,saves,savePercentage,shotsAgainst,ot,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
0,20072008,Montréal Canadiens,National Hockey League,1,284:40,1.0,2.107728,6,10.0,,2.0,1.0,141.0,0.933775,151.0,1.0,24.0,5.0,112.0,5.0,120.0,26.0,4.0,92.3076923076923,100.0,93.33333333333333
0,20072008,Hamilton,AHL,2,,2.0,2.1,28,57.0,2.0,15.0,10.0,746.0,0.929,803.0,,,,,,,,,,,
0,20082009,Montréal Canadiens,National Hockey League,1,1930:48,1.0,2.858919,34,92.0,,18.0,14.0,985.0,0.914578,1077.0,1.0,173.0,30.0,782.0,35.0,848.0,194.0,33.0,89.17525773195877,85.71428571428571,92.21698113207547
0,20082009,Slovakia,WC-A,3,189:00,0.0,3.17,4,10.0,0.0,1.0,2.0,68.0,0.871795,78.0,,,,,,,,,,,
0,20092010,Montréal Canadiens,National Hockey League,1,2629:56,5.0,2.395498,45,105.0,,26.0,13.0,1281.0,0.924242,1386.0,5.0,199.0,31.0,1051.0,37.0,1126.0,223.0,43.0,89.23766816143498,83.78378378378379,93.3392539964476
0,20092010,Slovakia,Olympics,2,423:00,1.0,2.41,7,17.0,0.0,3.0,4.0,156.0,0.901734,173.0,,,,,,,,,,,
0,20102011,St. Louis Blues,National Hockey League,1,3294:22,7.0,2.476956,57,136.0,,27.0,21.0,1382.0,0.910408,1518.0,7.0,224.0,29.0,1129.0,30.0,1233.0,255.0,57.0,87.84313725490196,96.66666666666667,91.56528791565289
0,20102011,Slovakia,WC-A,2,354:00,0.0,2.54,6,15.0,0.0,2.0,4.0,150.0,0.909091,165.0,,,,,,,,,,,
0,20112012,St. Louis Blues,National Hockey League,1,2746:37,6.0,1.966055,46,90.0,,26.0,12.0,1121.0,0.925681,1211.0,7.0,178.0,25.0,918.0,27.0,979.0,205.0,46.0,86.82926829268293,92.5925925925926,93.76915219611848
0,20122013,St. Louis Blues,National Hockey League,1,812:35,3.0,2.141319,16,29.0,,6.0,5.0,257.0,0.898601,286.0,1.0,37.0,5.0,215.0,7.0,236.0,43.0,15.0,86.04651162790698,71.42857142857143,91.10169491525424
0,20122013,Weiswasser,German-2,2,65:00,0.0,0.92,1,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,
0,20132014,St. Louis Blues,National Hockey League,1,2238:03,4.0,2.225151,40,83.0,,24.0,9.0,919.0,0.917166,1002.0,4.0,163.0,21.0,735.0,24.0,792.0,186.0,38.0,87.63440860215054,87.5,92.8030303030303
0,20132014,Slovakia,Olympics,2,94:00,0.0,5.13,2,8.0,,,,48.0,0.857143,56.0,,,,,,,,,,,
0,20132014,Washington Capitals,National Hockey League,3,700:51,1.0,2.312524,12,27.0,,5.0,4.0,356.0,0.929504,383.0,3.0,72.0,1.0,283.0,1.0,307.0,75.0,12.0,96.0,100.0,92.18241042345277
0,20142015,New York Islanders,National Hockey League,1,3549:57,6.0,2.433837,59,144.0,,38.0,17.0,1529.0,0.913927,1673.0,4.0,210.0,40.0,1279.0,41.0,1387.0,245.0,59.0,85.71428571428571,97.5609756097561,92.21341023792358
0,20152016,New York Islanders,National Hockey League,1,2091:11,3.0,2.295351,36,80.0,,18.0,13.0,904.0,0.918699,984.0,4.0,108.0,14.0,782.0,15.0,851.0,118.0,36.0,91.52542372881356,93.33333333333333,91.8918918918919
0,20162017,New York Islanders,National Hockey League,1,1605:29,2.0,2.802894,28,75.0,,12.0,9.0,810.0,0.915254,885.0,5.0,154.0,14.0,642.0,15.0,701.0,169.0,26.0,91.12426035502959,93.33333333333333,91.58345221112695
0,20162017,Bridgeport Islanders,AHL,827,,,2.15,27,,,,,,0.925,,,,,,,,,,,,
0,20162017,Team Europe,WCup,162186,,,2.15,6,,,,,,0.941,,,,,,,,,,,,
0,20172018,New York Islanders,National Hockey League,1,3024:03,1.0,3.194392,54,161.0,0.0,20.0,26.0,1583.0,0.907683,1744.0,6.0,233.0,47.0,1303.0,54.0,1420.0,270.0,49.0,86.29629629629629,87.03703703703704,91.7605633802817
0,20182019,Boston Bruins,National Hockey League,1,2308:07,5.0,2.33957,40,90.0,0.0,22.0,11.0,1068.0,0.92228,1158.0,4.0,151.0,45.0,872.0,48.0,932.0,178.0,37.0,84.8314606741573,93.75,93.56223175965665
0,20192020,Boston Bruins,National Hockey League,1,1833:22,3.0,2.389,31,73.0,0.0,18.0,6.0,832.0,0.919,905.0,6.0,87.0,31.0,714.0,32.0,775.0,98.0,29.0,88.77551020408163,96.875,92.12903225806451
0,20202021,Boston Bruins,National Hockey League,1,1090:01,2.0,2.5321,19,46.0,0.0,9.0,6.0,436.0,0.905,482.0,4.0,75.0,15.0,346.0,19.0,382.0,81.0,17.0,92.5925925925926,78.94736842105263,90.57591623036649
0,20212022,Vancouver Canucks,National Hockey League,1,796:39,0.0,2.9373,17,39.0,0.0,4.0,7.0,361.0,0.903,400.0,2.0,43.0,6.0,312.0,6.0,340.0,54.0,14.0,79.62962962962963,100.0,91.76470588235294
