,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,timeOnIce,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shortHandedTimeOnIce,shifts,shots,hits,powerPlayGoals,powerPlayPoints,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,blocked
0,20122013,Djurgarden,Sweden-2,2,3,2,6,10,6,,5,,,,,,,,,,,,,,,,
0,20122013,Martigny,Swiss-2,99,7,7,8,9,8,,14,,,,,,,,,,,,,,,,
0,20132014,Nashville Predators,National Hockey League,1,31,22,28,76,28,1.0,53,1281:15,221:56,1058:29,0.0,00:50,1625.0,248.0,77.0,7.0,17.0,8.87,6.0,0.0,0.0,0.0,34.0
0,20142015,Pittsburgh Penguins,National Hockey League,1,26,25,38,64,38,12.0,51,1129:51,212:04,914:05,28.57,03:42,1485.0,220.0,87.0,6.0,15.0,11.36,4.0,1.0,0.0,0.0,33.0
0,20152016,Pittsburgh Penguins,National Hockey League,1,29,22,36,82,36,15.0,51,1381:36,248:46,1130:29,62.5,02:21,1871.0,257.0,160.0,9.0,15.0,8.56,3.0,0.0,0.0,0.0,54.0
0,20162017,Pittsburgh Penguins,National Hockey League,1,23,21,28,70,28,16.0,44,1116:35,210:41,904:47,27.27,01:07,1495.0,223.0,227.0,10.0,17.0,9.42,6.0,0.0,0.0,0.0,62.0
0,20162017,Sweden,WCup,8596,2,0,0,4,0,2.0,2,,,,,,,,,,,,,,,,
0,20172018,Pittsburgh Penguins,National Hockey League,1,20,29,58,70,58,2.0,49,1212:36,246:53,962:46,48.48,02:57,1576.0,247.0,137.0,15.0,22.0,11.74,1.0,0.0,0.0,0.0,64.0
0,20172018,Sweden,WC,6815,0,2,2,5,2,2.0,2,,,,,,,,,,,,,,,,
0,20182019,Pittsburgh Penguins,National Hockey League,1,19,18,26,69,26,-3.0,37,1067:52,187:53,879:13,50.0,00:46,1412.0,197.0,150.0,6.0,12.0,9.14,2.0,0.0,0.0,0.0,34.0
0,20182019,Sweden,WC,6815,3,7,14,8,14,11.0,10,,,,,,,,,,,,,,,,
0,20182019,Sweden,EHT,89816,0,0,4,2,4,-1.0,0,,,,,,,,,,,,,,,,
0,20192020,Pittsburgh Penguins,National Hockey League,1,15,17,36,52,36,9.0,32,828:36,173:55,654:33,33.33,00:08,1073.0,168.0,107.0,3.0,7.0,10.1,2.0,0.0,0.0,0.0,41.0
0,20202021,Florida Panthers,National Hockey League,1,18,14,39,44,39,-3.0,32,738:28,180:27,557:39,14.29,00:22,871.0,145.0,80.0,8.0,12.0,9.7,2.0,0.0,0.0,0.0,23.0
0,20212022,Florida Panthers,National Hockey League,1,17,11,19,65,19,-5.0,28,823:34,137:27,686:01,38.1,00:06,1097.0,165.0,112.0,3.0,7.0,6.7,0.0,0.0,0.0,0.0,23.0
