,season,team,league,sequenceNumber,timeOnIce,assists,goals,games,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shortHandedTimeOnIce,points,shifts,pim,penaltyMinutes,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,shots,hits,powerPlayPoints,shotPct,overTimeGoals,shortHandedPoints,blocked
0,20082009,United States,WC-A,2,,2,5,9,,,0.0,,7,,10.0,10,,,,,,,,,,,
0,20092010,Los Angeles Kings,National Hockey League,1,1809:00,28,8,80,225:02,1456:26,0.0,127:32,36,1955.0,48.0,48,3.0,0.0,0.0,-15.0,130.0,144.0,13.0,6.15,0.0,0.0,86.0
0,20092010,U.S.A.,Olympics,3,,1,0,6,,,0.0,,1,,2.0,2,,,,,,,,,,,
0,20092010,U.S.A.,WC-A,5,,3,0,6,,,0.0,,3,,4.0,4,,,,,,,,,,,
0,20102011,Los Angeles Kings,National Hockey League,1,1902:15,37,5,82,318:31,1504:14,0.0,79:30,42,2125.0,44.0,44,3.0,0.0,0.0,-21.0,153.0,84.0,28.0,3.27,0.0,1.0,133.0
0,20102011,U.S.A.,WC-A,2,,2,1,7,,,,,3,,8.0,8,0.0,0.0,0.0,-4.0,,,,,,,
0,20112012,Los Angeles Kings,National Hockey League,1,1373:18,16,8,61,237:56,1049:05,0.0,86:17,24,1596.0,24.0,24,5.0,4.0,0.0,-12.0,120.0,72.0,14.0,6.67,2.0,0.0,84.0
0,20112012,Columbus Blue Jackets,National Hockey League,2,575:51,10,4,21,92:02,414:30,0.0,69:19,14,582.0,15.0,15,0.0,1.0,0.0,5.0,56.0,35.0,3.0,7.14,0.0,0.0,45.0
0,20112012,U.S.A.,WC-A,3,,1,3,8,,,,,4,,16.0,16,3.0,1.0,0.0,0.0,,,,,,,
0,20122013,Columbus Blue Jackets,National Hockey League,1,1142:51,14,5,44,159:27,860:53,0.0,122:31,19,1174.0,12.0,12,3.0,1.0,0.0,-5.0,96.0,66.0,8.0,5.21,0.0,0.0,90.0
0,20132014,Columbus Blue Jackets,National Hockey League,1,2023:43,28,5,82,263:13,1516:41,0.0,243:49,33,2111.0,48.0,48,4.0,0.0,0.0,-7.0,147.0,182.0,18.0,3.4,0.0,0.0,128.0
0,20142015,Columbus Blue Jackets,National Hockey League,1,1909:06,32,8,79,214:05,1446:43,0.0,248:18,40,2133.0,44.0,44,3.0,1.0,0.0,-13.0,141.0,157.0,21.0,5.67,1.0,0.0,131.0
0,20152016,Columbus Blue Jackets,National Hockey League,1,1450:31,8,6,60,142:26,1134:43,0.0,173:22,14,1683.0,25.0,25,3.0,2.0,0.0,-16.0,86.0,98.0,6.0,6.98,0.0,0.0,102.0
0,20162017,Columbus Blue Jackets,National Hockey League,1,1789:26,18,5,82,20:02,1570:59,100.0,198:25,23,2296.0,32.0,32,1.0,1.0,0.0,23.0,116.0,94.0,2.0,4.31,0.0,1.0,134.0
0,20162017,USA,WCup,17286,,0,0,2,,,,,0,,0.0,0,,,,-1.0,,,,,,,
0,20172018,Columbus Blue Jackets,National Hockey League,1,1505:04,8,3,77,11:06,1332:54,0.0,161:04,11,1920.0,22.0,22,0.0,1.0,0.0,-6.0,88.0,101.0,0.0,3.41,0.0,0.0,135.0
0,20182019,Pittsburgh Penguins,National Hockey League,1,1580:50,12,1,82,26:48,1368:18,0.0,185:44,13,2124.0,41.0,41,1.0,0.0,0.0,-4.0,86.0,233.0,2.0,1.16,0.0,2.0,147.0
0,20192020,Pittsburgh Penguins,National Hockey League,1,1303:45,8,3,67,04:32,1151:31,0.0,147:42,11,1680.0,26.0,26,0.0,0.0,1.0,-1.0,63.0,183.0,0.0,4.8,0.0,1.0,97.0
0,20202021,New York Rangers,National Hockey League,1,220:34,0,1,13,00:29,195:08,0.0,24:57,1,279.0,8.0,8,0.0,0.0,0.0,-5.0,13.0,30.0,0.0,7.7,0.0,0.0,15.0
0,20212022,Colorado Avalanche,National Hockey League,1,1239:22,8,1,74,02:42,1086:15,0.0,150:25,9,1665.0,42.0,42,0.0,0.0,0.0,5.0,57.0,91.0,0.0,1.8,0.0,1.0,68.0
