,Unnamed: 0,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts,team_switch,fullName,diff
38,0,20172018,San Jose Sharks,National Hockey League,1,1,0,2.0,16,2.0,1.0,1,20.0,0.0,0.0,0.0,0.0,182:17,24.0,0.0,00:31,150:39,50.93,0.0,0.0,31:07,5.0,282.0,False,Ryan Carpenter,
39,0,20172018,Vegas Golden Knights,National Hockey League,2,5,9,9.0,36,9.0,0.0,14,65.0,0.0,13.85,2.0,1.0,472:53,52.0,0.0,18:32,415:26,49.79,0.0,1.0,38:55,12.0,600.0,True,Ryan Carpenter,9.0
40,0,20182019,Vegas Golden Knights,National Hockey League,1,13,5,8.0,68,8.0,-6.0,18,102.0,0.0,4.9,0.0,1.0,857:52,126.0,0.0,13:43,759:02,52.61,0.0,2.0,85:07,17.0,1079.0,False,Ryan Carpenter,
41,0,20192020,Chicago Blackhawks,National Hockey League,1,12,3,28.0,69,28.0,-6.0,15,80.0,0.0,3.8,0.0,1.0,971:04,117.0,0.0,16:24,788:34,43.11,0.0,3.0,166:06,48.0,1339.0,True,Ryan Carpenter,-2.0
42,0,20212022,Chicago Blackhawks,National Hockey League,1,8,3,36.0,59,36.0,-10.0,11,61.0,0.0,4.9,2.0,0.0,753:08,123.0,1.0,23:49,601:05,52.25,0.0,0.0,128:14,40.0,1115.0,False,Ryan Carpenter,
43,0,20212022,Calgary Flames,National Hockey League,2,1,0,0.0,8,0.0,-1.0,1,6.0,0.0,0.0,0.0,0.0,89:51,13.0,0.0,00:23,89:13,47.27,0.0,0.0,00:15,4.0,131.0,True,Ryan Carpenter,-3.0
44,0,20172018,San Jose Sharks,National Hockey League,1,23,17,8.0,82,8.0,0.0,40,118.0,3.0,14.41,2.0,2.0,1311:59,26.0,7.0,81:18,1102:37,51.05,0.0,4.0,128:04,45.0,1863.0,False,Chris Tierney,
45,0,20182019,Ottawa Senators,National Hockey League,1,39,9,26.0,81,26.0,-22.0,48,116.0,0.0,7.76,1.0,0.0,1379:29,30.0,10.0,139:28,1102:58,50.91,0.0,0.0,137:03,54.0,1737.0,True,Chris Tierney,-8.0
46,0,20142015,New York Rangers,National Hockey League,1,6,1,4.0,18,4.0,4.0,7,18.0,0.0,5.56,0.0,0.0,218:49,6.0,1.0,25:24,193:25,0.0,0.0,0.0,00:00,5.0,312.0,False,Anthony Duclair,
47,0,20152016,Arizona Coyotes,National Hockey League,1,24,20,49.0,81,49.0,12.0,44,105.0,8.0,19.05,2.0,0.0,1164:44,27.0,12.0,229:36,934:34,0.0,0.0,0.0,00:34,27.0,1598.0,True,Anthony Duclair,19.0
48,0,20172018,Arizona Coyotes,National Hockey League,1,6,9,10.0,33,10.0,-5.0,15,68.0,3.0,13.24,1.0,0.0,443:59,26.0,3.0,63:36,379:23,0.0,1.0,0.0,01:00,16.0,651.0,False,Anthony Duclair,
49,0,20172018,Chicago Blackhawks,National Hockey League,2,6,2,6.0,23,6.0,0.0,8,29.0,0.0,6.9,1.0,0.0,299:53,20.0,0.0,31:50,268:03,50.0,0.0,0.0,00:00,10.0,402.0,True,Anthony Duclair,-7.0
50,0,20172018,Chicago Blackhawks,National Hockey League,2,6,2,6.0,23,6.0,0.0,8,29.0,0.0,6.9,1.0,0.0,299:53,20.0,0.0,31:50,268:03,50.0,0.0,0.0,00:00,10.0,402.0,False,Anthony Duclair,
51,0,20182019,Columbus Blue Jackets,National Hockey League,1,8,11,12.0,53,12.0,-3.0,19,92.0,4.0,11.96,2.0,0.0,652:23,24.0,5.0,85:48,564:46,13.33,0.0,0.0,01:49,21.0,901.0,True,Anthony Duclair,9.0
52,0,20182019,Columbus Blue Jackets,National Hockey League,1,8,11,12.0,53,12.0,-3.0,19,92.0,4.0,11.96,2.0,0.0,652:23,24.0,5.0,85:48,564:46,13.33,0.0,0.0,01:49,21.0,901.0,False,Anthony Duclair,
53,0,20182019,Ottawa Senators,National Hockey League,2,6,8,2.0,21,2.0,1.0,14,40.0,3.0,20.0,1.0,0.0,287:29,8.0,3.0,33:52,253:17,0.0,0.0,0.0,00:20,12.0,385.0,True,Anthony Duclair,-3.0
54,0,20192020,Ottawa Senators,National Hockey League,1,17,23,18.0,66,18.0,-5.0,40,184.0,5.0,12.5,2.0,2.0,1073:13,53.0,8.0,169:50,841:50,50.0,2.0,2.0,61:33,39.0,1542.0,False,Anthony Duclair,
