,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,timeOnIce,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shortHandedTimeOnIce,shifts,shots,hits,powerPlayGoals,powerPlayPoints,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,blocked
0,20082009,Washington Capitals,National Hockey League,1,54,56,72,79,72,8.0,110,1817:22,427:46,1316:11,25.0,73:25,1694.0,528.0,243.0,19.0,46.0,10.61,10.0,2.0,1.0,1.0,32.0
0,20092010,Washington Capitals,National Hockey League,1,59,50,89,72,89,45.0,109,1569:25,364:04,1201:07,45.45,04:14,1420.0,368.0,185.0,13.0,36.0,13.59,7.0,0.0,0.0,0.0,20.0
0,20092010,Russia,Olympics,3,2,2,2,4,2,,4,,,,0.0,,,,,,,,,,,,
0,20092010,Russia,WC-A,5,1,5,4,9,4,,6,,,,0.0,,,,,,,,,,,,
0,20102011,Washington Capitals,National Hockey League,1,53,32,41,79,41,24.0,85,1687:55,354:00,1330:18,33.33,03:37,1716.0,367.0,241.0,7.0,24.0,8.72,11.0,3.0,0.0,0.0,23.0
0,20102011,Russia,WC-A,2,0,0,4,5,4,-3.0,0,,,,,,,,,0.0,,,0.0,,0.0,,
0,20112012,Washington Capitals,National Hockey League,1,27,38,26,78,26,-8.0,65,1544:25,283:26,1258:58,40.0,02:01,1651.0,303.0,215.0,13.0,23.0,12.54,3.0,2.0,0.0,0.0,42.0
0,20112012,Russia,WC-A,2,2,2,2,3,2,5.0,4,,,,,,,,,0.0,,,1.0,,0.0,,
0,20122013,Washington Capitals,National Hockey League,1,24,32,36,48,36,2.0,56,1002:27,220:30,778:33,0.0,03:24,1026.0,220.0,120.0,16.0,27.0,14.55,4.0,0.0,0.0,0.0,18.0
0,20122013,Dynamo Moscow,KHL,2,21,19,14,31,14,13.0,40,,,,,,,,,,,,,,,,
0,20122013,Russia,WC-A,3,1,1,0,1,0,-2.0,2,,,,,,,,,0.0,,,0.0,,0.0,,
0,20132014,Washington Capitals,National Hockey League,1,28,51,48,78,48,-35.0,79,1602:32,392:46,1208:47,66.67,00:59,1700.0,386.0,204.0,24.0,39.0,13.21,10.0,3.0,0.0,1.0,22.0
0,20132014,Russia,Olympics,2,1,1,0,5,0,2.0,2,,,,,,,24.0,,0.0,,,0.0,,0.0,,
0,20132014,Russia,WC-A,3,7,4,8,9,8,6.0,11,,,,,,,52.0,,2.0,,,1.0,,0.0,,
0,20142015,Washington Capitals,National Hockey League,1,28,53,58,81,58,10.0,81,1646:24,309:16,1335:43,40.0,01:25,1816.0,395.0,259.0,25.0,34.0,13.42,11.0,0.0,0.0,0.0,32.0
0,20142015,Russia,WC-A,2,1,1,0,2,0,1.0,2,,,,,,,6.0,,0.0,,,0.0,,0.0,,
0,20152016,Washington Capitals,National Hockey League,1,21,50,53,79,53,21.0,71,1604:22,339:25,1264:39,0.0,00:18,1714.0,398.0,225.0,19.0,24.0,12.56,8.0,2.0,0.0,0.0,34.0
0,20152016,Russia,WC-A,2,1,1,2,6,2,3.0,2,,,,,,,23.0,,0.0,,,0.0,,0.0,,
0,20152016,Russia,WC,17485,1,1,2,6,2,3.0,2,,,,,,,,,,,,,,,,
0,20162017,Washington Capitals,National Hockey League,1,36,33,50,82,50,6.0,69,1506:01,305:21,1198:26,0.0,02:14,1737.0,313.0,216.0,17.0,26.0,10.54,7.0,2.0,0.0,0.0,29.0
0,20162017,Russia,WCup,17546,2,1,6,4,6,1.0,3,,,,,,,,,,,,,,,,
0,20172018,Washington Capitals,National Hockey League,1,38,49,32,82,32,3.0,87,1651:50,344:51,1304:31,37.5,02:28,1730.0,355.0,139.0,17.0,31.0,13.8,7.0,3.0,0.0,0.0,21.0
0,20182019,Washington Capitals,National Hockey League,1,38,51,40,81,40,7.0,89,1694:37,357:21,1336:39,20.0,00:37,1682.0,338.0,223.0,18.0,28.0,15.09,5.0,0.0,0.0,0.0,41.0
0,20182019,Russia,WC,17485,1,2,2,10,2,6.0,3,,,,,,,,,,,,,,,,
0,20182019,Russia,EHT,64546,3,1,0,2,0,4.0,4,,,,,,,,,,,,,,,,
0,20192020,Washington Capitals,National Hockey League,1,19,48,30,68,30,-12.0,67,1405:11,332:32,1071:27,100.0,01:12,1388.0,311.0,184.0,13.0,18.0,15.4,3.0,1.0,0.0,0.0,30.0
0,20202021,Washington Capitals,National Hockey League,1,18,24,12,45,12,-7.0,42,877:35,189:41,686:59,0.0,00:55,935.0,182.0,98.0,9.0,17.0,13.2,6.0,1.0,0.0,0.0,23.0
0,20212022,Washington Capitals,National Hockey League,1,40,50,18,77,18,8.0,90,1584:02,366:21,1216:50,30.77,00:51,1680.0,334.0,155.0,16.0,29.0,15.0,5.0,0.0,1.0,1.0,25.0
