,season,team,league,sequenceNumber,goalAgainstAverage,games,timeOnIce,shutouts,goalsAgainst,ties,wins,losses,saves,savePercentage,shotsAgainst,ot,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
0,20142015,Arizona Coyotes,National Hockey League,1,3.155423,62,3555:47,0.0,187.0,,14.0,42.0,1768.0,0.904348,1955.0,5.0,294.0,48.0,1426.0,52.0,1564.0,339.0,61.0,86.72566371681415,92.3076923076923,91.17647058823529
0,20142015,Canada,WC-A,2,1.5,8,480:00,2.0,12.0,0.0,8.0,0.0,160.0,0.930233,172.0,,,,,,,,,,,
0,20142015,Canada,WC,17155,1.5,8,,,,,,,,0.93,,,,,,,,,,,,
0,20152016,Arizona Coyotes,National Hockey League,1,2.634731,32,1753:30,3.0,77.0,,15.0,13.0,844.0,0.916395,921.0,2.0,139.0,22.0,683.0,29.0,732.0,160.0,32.0,86.875,75.86206896551724,93.30601092896174
0,20162017,Arizona Coyotes,National Hockey League,1,2.923051,55,3202:08,3.0,156.0,,19.0,26.0,1663.0,0.914239,1819.0,9.0,205.0,32.0,1426.0,37.0,1544.0,238.0,55.0,86.1344537815126,86.48648648648648,92.35751295336787
0,20172018,Calgary Flames,National Hockey League,1,2.651539,55,3190:36,3.0,141.0,0.0,25.0,22.0,1545.0,0.91637,1686.0,6.0,241.0,47.0,1257.0,52.0,1363.0,271.0,55.0,88.92988929889299,90.38461538461539,92.22303741746148
0,20182019,Calgary Flames,National Hockey League,1,2.72464,42,2400:19,2.0,109.0,0.0,23.0,16.0,960.0,0.898036,1069.0,2.0,117.0,41.0,802.0,43.0,884.0,142.0,40.0,82.3943661971831,95.34883720930233,90.72398190045249
0,20192020,Edmonton Oilers,National Hockey League,1,2.9487,39,2156:51,1.0,106.0,0.0,19.0,12.0,981.0,0.902,1087.0,6.0,140.0,26.0,815.0,31.0,903.0,153.0,37.0,91.50326797385621,83.87096774193549,90.2547065337763
0,20202021,Edmonton Oilers,National Hockey League,1,2.307,32,1846:33,3.0,71.0,0.0,21.0,6.0,850.0,0.923,921.0,2.0,115.0,24.0,711.0,25.0,769.0,127.0,30.0,90.5511811023622,96.0,92.45773732119635
0,20212022,Edmonton Oilers,National Hockey League,1,2.81019,28,1579:58,2.0,74.0,0.0,16.0,9.0,800.0,0.915,874.0,2.0,138.0,18.0,644.0,21.0,697.0,156.0,27.0,88.46153846153845,85.71428571428571,92.39598278335724
