,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games,timeOnIce,shutouts,ties,wins,losses,goalsAgainst,saves,shotsAgainst,ot,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
0,20112012,Windsor,OHL,1,0.906,3.13,12,729:00,1.0,2.0,6.0,3.0,38.0,368.0,406.0,,,,,,,,,,,
0,20112012,Sault Ste. Marie,OHL,2,0.892,3.58,34,1945:00,1.0,5.0,15.0,12.0,116.0,956.0,1072.0,,,,,,,,,,,
0,20112012,U.S.A.,WJC-A,3,0.906475,2.62,5,298:00,0.0,0.0,3.0,2.0,13.0,126.0,139.0,,,,,,,,,,,
0,20112012,Texas,AHL,4,0.912145,3.02,12,676:00,1.0,0.0,4.0,7.0,34.0,353.0,387.0,,,,,,,,,,,
0,20122013,Texas,AHL,1,0.905,2.65,40,2108:00,2.0,3.0,19.0,13.0,93.0,883.0,976.0,,,,,,,,,,,
0,20132014,Dallas Stars,National Hockey League,1,0.87234,6.0,1,60:00,0.0,,0.0,1.0,6.0,41.0,47.0,0.0,14.0,1.0,26.0,2.0,29.0,16.0,1.0,87.5,50.0,89.65517241379311
0,20132014,Texas,AHL,2,0.942,1.49,16,966:00,4.0,2.0,12.0,2.0,24.0,391.0,415.0,,,,,,,,,,,
0,20142015,Texas,AHL,1,0.907,3.03,35,1958:00,2.0,5.0,14.0,14.0,99.0,964.0,1063.0,,,,,,,,,,,
0,20142015,Idaho,ECHL,2,0.945,1.73,7,417:00,1.0,0.0,5.0,2.0,12.0,208.0,220.0,,,,,,,,,,,
0,20142015,U.S.A.,WC-A,3,0.825,3.5,2,120:00,0.0,0.0,1.0,1.0,7.0,33.0,40.0,,,,,,,,,,,
0,20142015,Idaho Steelheads,ECHL,7155,0.945,1.73,7,,,,,,,,,,,,,,,,,,,
0,20142015,USA,WC,17215,0.825,3.5,2,,,,,,,,,,,,,,,,,,,
0,20142015,Texas Stars,AHL,45177,0.907,3.03,35,,,,,,,,,,,,,,,,,,,
0,20152016,Idaho Steelheads,ECHL,7155,0.944,1.68,20,,,,,,,,,,,,,,,,,,,
0,20152016,Texas Stars,AHL,45177,0.884,3.65,19,,,,,,,,,,,,,,,,,,,
0,20162017,Los Angeles Kings,National Hockey League,1,1.0,0.0,1,20:00,0.0,,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,4.0,0.0,4.0,1.0,0.0,100.0,,100.0
0,20162017,Ontario Reign,AHL,26957,0.914,2.52,52,,,,,,,,,,,,,,,,,,,
0,20172018,Los Angeles Kings,National Hockey League,1,0.924138,2.475464,5,266:37,0.0,0.0,2.0,0.0,11.0,134.0,145.0,2.0,23.0,12.0,99.0,12.0,110.0,23.0,4.0,100.0,100.0,90.0
0,20172018,Ontario Reign,AHL,26957,0.912,2.83,26,,,,,,,,,,,,,,,,,,,
0,20182019,Los Angeles Kings,National Hockey League,1,0.927811,2.297888,31,1592:46,2.0,0.0,10.0,14.0,61.0,784.0,845.0,1.0,102.0,16.0,666.0,18.0,714.0,113.0,25.0,90.2654867256637,88.88888888888889,93.27731092436974
0,20182019,Ontario Reign,AHL,26957,0.888,4.38,2,,,,,,,,,,,,,,,,,,,
0,20192020,Los Angeles Kings,National Hockey League,1,0.9,2.8461,20,1201:38,0.0,0.0,8.0,10.0,57.0,515.0,572.0,2.0,55.0,14.0,446.0,14.0,491.0,67.0,20.0,82.08955223880598,100.0,90.83503054989816
0,20192020,Toronto Maple Leafs,National Hockey League,2,0.915,2.6276,6,365:21,0.0,0.0,3.0,2.0,16.0,173.0,189.0,1.0,17.0,7.0,149.0,8.0,162.0,19.0,6.0,89.47368421052632,87.5,91.9753086419753
0,20202021,Toronto Maple Leafs,National Hockey League,1,0.921,2.1489,22,1284:24,2.0,0.0,17.0,3.0,46.0,539.0,585.0,2.0,63.0,22.0,454.0,25.0,491.0,69.0,22.0,91.30434782608695,88.0,92.4643584521385
0,20212022,Toronto Maple Leafs,National Hockey League,1,0.914,2.64005,49,2795:24,5.0,0.0,31.0,9.0,123.0,1307.0,1430.0,6.0,145.0,38.0,1124.0,39.0,1228.0,163.0,47.0,88.95705521472392,97.43589743589743,91.53094462540716
