,season,team,league,sequenceNumber,timeOnIce,assists,goals,pim,games,penaltyMinutes,faceOffPct,points,powerPlayGoals,powerPlayTimeOnIce,evenTimeOnIce,shortHandedGoals,shortHandedTimeOnIce,plusMinus,shifts,shots,hits,powerPlayPoints,shotPct,gameWinningGoals,overTimeGoals,shortHandedPoints,blocked
0,20092010,Canada,Olympics,3,,1,4,2,7,2,0.0,5,,,,,,,,,,,,,,,
0,20092010,Canada,WC-A,5,,4,2,8,7,8,0.0,6,,,,,,,,,,,,,,,
0,20102011,Anaheim Ducks,National Hockey League,1,1829:40,48,50,104,82,104,40.91,98,14.0,287:40,1407:05,4.0,134:55,9.0,2176.0,290.0,64.0,31.0,17.24,11.0,2.0,5.0,41.0
0,20112012,Anaheim Ducks,National Hockey League,1,1710:21,23,37,127,80,127,39.58,60,14.0,285:52,1321:55,1.0,102:34,-7.0,1916.0,277.0,69.0,23.0,13.36,6.0,1.0,2.0,45.0
0,20112012,Canada,WC-A,2,,4,3,8,8,8,,7,1.0,,,0.0,,7.0,,,,,,1.0,,,
0,20122013,Anaheim Ducks,National Hockey League,1,839:04,21,15,72,44,72,20.69,36,5.0,124:05,674:30,0.0,40:29,10.0,1002.0,128.0,49.0,10.0,11.72,5.0,1.0,1.0,18.0
0,20132014,Anaheim Ducks,National Hockey League,1,1577:59,39,43,65,81,65,36.0,82,8.0,284:21,1248:47,0.0,44:51,32.0,1879.0,280.0,81.0,18.0,15.36,9.0,1.0,0.0,28.0
0,20132014,Canada,Olympics,2,,1,0,2,6,2,,1,0.0,,,0.0,,2.0,,,,,,0.0,,,
0,20142015,Anaheim Ducks,National Hockey League,1,1212:45,22,33,67,67,67,25.0,55,4.0,186:23,1009:42,0.0,16:40,13.0,1412.0,193.0,64.0,7.0,17.1,3.0,1.0,0.0,27.0
0,20152016,Anaheim Ducks,National Hockey League,1,1452:02,28,34,68,82,68,20.0,62,12.0,235:41,1212:19,0.0,04:02,2.0,1813.0,215.0,104.0,24.0,15.81,6.0,0.0,0.0,36.0
0,20152016,Canada,WC-A,2,,5,4,6,10,6,,9,1.0,,,0.0,,6.0,,23.0,,,,1.0,,,
0,20152016,Canada,WC,17155,,5,4,6,10,6,,9,,,,,,6.0,,,,,,,,,
0,20162017,Anaheim Ducks,National Hockey League,1,1452:42,34,19,76,82,76,35.0,53,5.0,236:46,1213:30,0.0,02:26,2.0,1812.0,215.0,81.0,20.0,8.84,3.0,0.0,0.0,35.0
0,20162017,Canada,WCup,17216,,0,2,2,6,2,,2,,,,,,3.0,,,,,,,,,
0,20172018,Anaheim Ducks,National Hockey League,1,1262:10,32,17,71,71,71,12.5,49,4.0,189:10,1070:55,0.0,02:05,-4.0,1559.0,168.0,59.0,11.0,10.12,1.0,0.0,0.0,36.0
0,20182019,Anaheim Ducks,National Hockey League,1,459:30,4,6,27,31,27,0.0,10,2.0,56:32,402:40,0.0,00:18,-16.0,572.0,59.0,21.0,4.0,10.17,1.0,0.0,0.0,14.0
0,20192020,Dallas Stars,National Hockey League,1,782:16,16,5,70,57,70,40.0,21,1.0,121:47,659:37,0.0,00:52,-2.0,1070.0,77.0,60.0,7.0,6.5,0.0,0.0,0.0,33.0
0,20202021,Montréal Canadiens,National Hockey League,1,673:13,12,9,39,49,39,0.0,21,1.0,104:56,566:46,0.0,01:31,-4.0,876.0,62.0,56.0,7.0,14.5,1.0,0.0,0.0,15.0
0,20212022,Tampa Bay Lightning,National Hockey League,1,1108:02,21,19,66,82,66,50.0,40,6.0,141:23,965:51,0.0,00:48,9.0,1412.0,153.0,73.0,8.0,12.4,4.0,0.0,0.0,28.0
